date,Nation,Protest
2021/6/13,Wales,10
2021/6/20,Wales,7
2021/6/27,Wales,5
2021/7/4,Wales,0
2020/1/5,Scotland,8
2020/1/12,Scotland,12
2020/1/19,Scotland,5
2020/1/26,Scotland,14
2020/2/2,Scotland,6
2020/2/9,Scotland,5
2020/2/16,Scotland,6
2020/2/23,Scotland,4
2020/3/1,Scotland,6
2020/3/8,Scotland,9
2020/3/15,Scotland,2
2020/3/22,Scotland,3
2020/3/29,Scotland,4
2020/4/5,Scotland,2
2020/4/12,Scotland,7
2020/4/19,Scotland,5
2020/4/26,Scotland,8
2020/5/3,Scotland,6
2020/5/10,Scotland,27
2020/5/17,Scotland,13
2020/5/24,Scotland,6
2020/5/31,Scotland,100
2020/6/7,Scotland,93
2020/6/14,Scotland,34
2020/6/21,Scotland,19
2020/6/28,Scotland,16
2020/7/5,Scotland,9
2020/7/12,Scotland,10
2020/7/19,Scotland,11
2020/7/26,Scotland,10
2020/8/2,Scotland,17
2020/8/9,Scotland,7
2020/8/16,Scotland,8
2020/8/23,Scotland,18
2020/8/30,Scotland,18
2020/9/6,Scotland,13
2020/9/13,Scotland,11
2020/9/20,Scotland,9
2020/9/27,Scotland,6
2020/10/4,Scotland,13
2020/10/11,Scotland,11
2020/10/18,Scotland,15
2020/10/25,Scotland,11
2020/11/1,Scotland,12
2020/11/8,Scotland,5
2020/11/15,Scotland,4
2020/11/22,Scotland,7
2020/11/29,Scotland,20
2020/12/6,Scotland,12
2020/12/13,Scotland,12
2020/12/20,Scotland,5
2020/12/27,Scotland,7
2021/1/3,Scotland,22
2021/1/10,Scotland,18
2021/1/17,Scotland,9
2021/1/24,Scotland,13
2021/1/31,Scotland,9
2021/2/7,Scotland,4
2021/2/14,Scotland,6
2021/2/21,Scotland,5
2021/2/28,Scotland,7
2021/3/7,Scotland,12
2021/3/14,Scotland,34
2021/3/21,Scotland,27
2021/3/28,Scotland,12
2021/4/4,Scotland,8
2021/4/11,Scotland,2
2021/4/18,Scotland,20
2021/4/25,Scotland,17
2021/5/2,Scotland,9
2021/5/9,Scotland,35
2021/5/16,Scotland,22
2021/5/23,Scotland,5
2021/5/30,Scotland,2
2021/6/6,Scotland,4
2021/6/13,Scotland,2
2021/6/20,Scotland,3
2021/6/27,Scotland,11
2021/7/4,Scotland,15
,,
"Data Source: Google Trends, key word: protest",,
